Procedure_Count,Infections_Reported,Infections_Predicted,Operative_Procedure_Appendectomy,Operative_Procedure_Cataract surgery,Operative_Procedure_Cesarean section,Operative_Procedure_Cholecystectomy,Operative_Procedure_Coronary artery bypass graft (CABG),Operative_Procedure_Hernia repair,Operative_Procedure_Hip replacement,Operative_Procedure_Hysterectomy,Operative_Procedure_Knee arthroscopy,Operative_Procedure_Prostatectomy,SIR_High,SIR_Low,SIR_Mid
7,8,18,False,False,True,False,False,False,False,False,False,False,False,True,False
8,19,29,False,False,False,False,False,False,False,True,False,False,False,False,True
5,6,27,False,False,False,False,False,False,True,False,False,False,False,False,True
4,1,34,False,False,False,False,False,False,False,False,True,False,True,False,False
5,21,42,False,False,True,False,False,False,False,False,False,False,True,False,False
10,23,10,False,False,False,False,False,False,False,False,False,True,True,False,False
1,27,30,False,False,False,False,False,True,False,False,False,False,True,False,False
3,22,48,False,False,True,False,False,False,False,False,False,False,True,False,False
2,6,47,False,False,False,False,False,False,True,False,False,False,True,False,False
6,7,38,False,False,False,False,False,False,False,False,True,False,True,False,False
8,6,35,False,False,False,False,False,False,False,True,False,False,True,False,False
4,20,29,False,False,False,False,False,False,True,False,False,False,True,False,False
5,22,22,False,False,False,False,False,False,True,False,False,False,True,False,False
9,28,18,False,False,False,False,False,True,False,False,False,False,True,False,False
1,13,11,False,True,False,False,False,False,False,False,False,False,False,False,True
2,25,14,False,False,False,False,False,False,False,False,True,False,True,False,False
2,18,30,False,False,False,True,False,False,False,False,False,False,True,False,False
8,4,42,False,False,False,False,False,False,True,False,False,False,True,False,False
6,22,36,False,True,False,False,False,False,False,False,False,False,True,False,False
7,30,36,False,False,False,True,False,False,False,False,False,False,True,False,False
10,24,14,False,False,False,False,False,False,False,False,True,False,True,False,False
9,30,28,True,False,False,False,False,False,False,False,False,False,True,False,False
10,17,49,False,False,False,False,False,False,False,False,False,True,True,False,False
8,19,42,False,True,False,False,False,False,False,False,False,False,True,False,False
5,11,25,False,False,False,False,True,False,False,False,False,False,False,False,True
3,22,43,True,False,False,False,False,False,False,False,False,False,True,False,False
0,16,1,False,False,False,False,False,False,False,False,False,True,False,False,True
7,12,19,False,False,False,False,False,True,False,False,False,False,False,False,True
6,1,14,False,False,True,False,False,False,False,False,False,False,False,True,False
1,24,3,False,False,False,False,False,False,False,True,False,False,True,False,False
7,12,21,False,False,False,False,True,False,False,False,False,False,False,False,True
4,25,49,False,False,False,False,False,True,False,False,False,False,True,False,False
6,6,37,False,False,False,False,False,False,False,False,True,False,True,False,False
3,27,22,False,False,False,False,False,True,False,False,False,False,True,False,False
4,9,25,False,False,True,False,False,False,False,False,False,False,False,False,True
7,22,50,False,False,False,False,False,False,False,False,True,False,True,False,False
0,5,10,False,False,False,False,True,False,False,False,False,False,False,True,False
0,2,27,False,False,True,False,False,False,False,False,False,False,False,False,True
3,25,1,False,False,False,True,False,False,False,False,False,False,True,False,False
2,2,7,False,False,False,False,False,False,False,True,False,False,False,True,False
9,17,28,False,False,False,False,True,False,False,False,False,False,False,False,True
1,10,10,False,False,False,True,False,False,False,False,False,False,False,False,True
2,21,36,False,False,False,False,False,False,False,False,False,True,True,False,False
10,19,17,False,False,False,False,True,False,False,False,False,False,False,False,True
10,4,49,False,False,False,False,False,False,False,False,False,True,True,False,False
10,18,13,False,False,False,False,False,False,False,False,True,False,False,False,True
0,21,9,False,False,False,True,False,False,False,False,False,False,True,False,False
0,26,34,False,False,False,False,False,False,False,True,False,False,True,False,False
5,27,8,False,False,True,False,False,False,False,False,False,False,True,False,False
4,18,34,False,False,False,False,False,False,True,False,False,False,True,False,False
7,29,10,False,False,False,False,False,True,False,False,False,False,True,False,False
1,14,43,True,False,False,False,False,False,False,False,False,False,True,False,False
3,29,11,False,False,False,False,False,False,False,True,False,False,True,False,False
7,15,2,False,False,False,True,False,False,False,False,False,False,False,False,True
5,23,38,False,False,False,False,False,False,True,False,False,False,True,False,False
0,8,13,False,False,False,False,False,False,False,True,False,False,False,True,False
3,3,27,False,False,False,True,False,False,False,False,False,False,False,False,True
0,14,10,False,True,False,False,False,False,False,False,False,False,False,False,True
1,24,38,False,True,False,False,False,False,False,False,False,False,True,False,False
4,11,24,False,False,False,False,False,False,False,False,False,True,False,False,True
7,22,20,False,False,False,False,False,False,False,True,False,False,True,False,False
7,2,9,False,True,False,False,False,False,False,False,False,False,False,True,False
10,22,42,False,False,False,True,False,False,False,False,False,False,True,False,False
2,13,14,False,False,False,False,False,False,False,False,False,True,False,False,True
10,16,18,False,False,False,True,False,False,False,False,False,False,False,False,True
3,18,47,False,False,False,False,False,False,False,False,False,True,True,False,False
9,5,21,False,False,False,False,False,False,False,True,False,False,False,False,True
10,3,20,False,False,False,False,False,False,True,False,False,False,False,False,True
5,6,43,False,False,True,False,False,False,False,False,False,False,True,False,False
10,29,31,False,False,False,False,True,False,False,False,False,False,True,False,False
10,18,49,False,False,False,False,False,False,True,False,False,False,True,False,False
9,16,22,False,False,False,False,False,False,False,False,True,False,False,False,True
2,24,12,False,False,False,True,False,False,False,False,False,False,True,False,False
1,15,4,False,False,False,False,False,False,False,False,True,False,False,False,True
5,14,3,False,False,False,False,False,False,True,False,False,False,False,False,True
10,21,27,False,False,False,False,False,False,False,False,False,True,True,False,False
4,7,13,False,False,False,False,True,False,False,False,False,False,False,True,False
9,18,7,False,False,False,False,True,False,False,False,False,False,False,False,True
4,7,8,True,False,False,False,False,False,False,False,False,False,False,True,False
9,17,50,False,False,False,False,True,False,False,False,False,False,True,False,False
4,27,34,False,False,True,False,False,False,False,False,False,False,True,False,False
9,15,36,False,False,False,False,True,False,False,False,False,False,True,False,False
4,19,20,False,False,False,False,False,False,True,False,False,False,False,False,True
2,18,17,True,False,False,False,False,False,False,False,False,False,False,False,True
6,9,32,False,False,False,False,False,False,True,False,False,False,True,False,False
5,16,7,False,False,False,False,False,False,True,False,False,False,False,False,True
3,30,50,False,False,False,False,False,True,False,False,False,False,True,False,False
1,12,48,True,False,False,False,False,False,False,False,False,False,True,False,False
8,12,16,False,False,False,False,False,False,True,False,False,False,False,False,True
0,6,42,False,False,False,False,False,True,False,False,False,False,True,False,False
10,26,30,False,False,False,False,False,True,False,False,False,False,True,False,False
3,9,33,True,False,False,False,False,False,False,False,False,False,True,False,False
0,1,5,False,False,False,False,False,False,False,False,True,False,False,True,False
5,3,21,False,False,False,False,False,False,False,False,False,True,False,False,True
3,24,13,False,False,True,False,False,False,False,False,False,False,True,False,False
4,5,2,False,False,False,False,False,False,False,False,False,True,False,True,False
4,23,11,False,False,False,False,True,False,False,False,False,False,True,False,False
8,17,35,False,False,True,False,False,False,False,False,False,False,True,False,False
0,22,11,False,False,False,False,True,False,False,False,False,False,True,False,False
1,5,44,False,False,False,False,False,False,True,False,False,False,True,False,False
5,28,1,False,False,False,True,False,False,False,False,False,False,True,False,False
4,29,1,True,False,False,False,False,False,False,False,False,False,True,False,False
10,24,14,False,False,True,False,False,False,False,False,False,False,True,False,False
6,22,22,False,False,True,False,False,False,False,False,False,False,True,False,False
2,16,28,False,False,False,False,False,False,True,False,False,False,False,False,True
2,13,16,False,False,False,False,False,False,False,False,True,False,False,False,True
9,23,31,False,False,False,False,False,True,False,False,False,False,True,False,False
1,10,6,False,False,False,False,False,False,True,False,False,False,False,False,True
2,25,29,False,True,False,False,False,False,False,False,False,False,True,False,False
9,30,27,False,False,False,False,False,True,False,False,False,False,True,False,False
0,18,13,True,False,False,False,False,False,False,False,False,False,False,False,True
4,29,43,False,False,False,False,False,True,False,False,False,False,True,False,False
4,1,29,False,False,False,False,False,False,False,False,True,False,False,False,True
10,27,16,False,False,False,False,False,True,False,False,False,False,True,False,False
6,2,31,True,False,False,False,False,False,False,False,False,False,True,False,False
3,10,45,False,False,False,False,False,False,False,False,True,False,True,False,False
2,5,5,False,False,False,False,False,False,False,False,False,True,False,True,False
0,28,50,False,False,True,False,False,False,False,False,False,False,True,False,False
7,13,23,False,False,True,False,False,False,False,False,False,False,False,False,True
2,18,5,False,False,False,False,True,False,False,False,False,False,False,False,True
1,25,26,False,False,False,False,False,False,False,False,False,True,True,False,False
10,15,17,False,False,False,False,False,False,False,False,False,True,False,False,True
3,20,23,False,False,False,False,False,True,False,False,False,False,True,False,False
2,21,36,False,False,True,False,False,False,False,False,False,False,True,False,False
0,23,23,True,False,False,False,False,False,False,False,False,False,True,False,False
2,6,37,False,False,False,False,False,False,False,True,False,False,True,False,False
1,29,33,False,False,False,False,False,False,False,True,False,False,True,False,False
7,26,39,False,False,False,False,False,False,False,False,True,False,True,False,False
5,7,46,False,False,True,False,False,False,False,False,False,False,True,False,False
8,18,14,False,False,True,False,False,False,False,False,False,False,False,False,True
7,19,10,False,False,False,False,False,False,False,True,False,False,False,False,True
9,15,21,False,False,True,False,False,False,False,False,False,False,False,False,True
2,21,23,False,False,False,False,False,True,False,False,False,False,True,False,False
4,26,0,False,True,False,False,False,False,False,False,False,False,True,False,False
6,6,17,False,False,False,True,False,False,False,False,False,False,False,True,False
4,8,43,False,False,False,False,False,False,False,False,False,True,True,False,False
7,12,11,False,False,False,False,True,False,False,False,False,False,False,False,True
4,0,42,False,False,False,False,False,False,False,False,True,False,True,False,False
0,28,27,False,True,False,False,False,False,False,False,False,False,True,False,False
4,30,39,False,False,False,False,False,False,False,True,False,False,True,False,False
3,7,6,False,False,False,False,False,False,False,False,False,True,False,True,False
5,23,22,False,False,True,False,False,False,False,False,False,False,True,False,False
2,21,20,False,False,False,False,True,False,False,False,False,False,True,False,False
10,3,33,False,False,True,False,False,False,False,False,False,False,True,False,False
4,2,10,True,False,False,False,False,False,False,False,False,False,False,True,False
1,26,21,True,False,False,False,False,False,False,False,False,False,True,False,False
10,2,41,False,False,False,False,True,False,False,False,False,False,True,False,False
5,21,34,False,False,False,False,True,False,False,False,False,False,True,False,False
5,12,28,False,False,False,False,False,False,False,True,False,False,False,False,True
4,7,41,False,False,False,False,True,False,False,False,False,False,True,False,False
5,6,27,False,False,False,False,False,True,False,False,False,False,False,False,True
10,26,17,False,False,True,False,False,False,False,False,False,False,True,False,False
6,0,13,False,True,False,False,False,False,False,False,False,False,False,True,False
4,26,17,False,False,False,False,False,False,True,False,False,False,True,False,False
0,15,27,False,False,False,False,True,False,False,False,False,False,False,False,True
7,5,23,False,False,False,False,False,False,False,False,True,False,False,False,True
3,6,7,True,False,False,False,False,False,False,False,False,False,False,True,False
8,11,41,False,False,False,False,False,True,False,False,False,False,True,False,False
9,22,44,False,False,False,False,False,False,False,False,False,True,True,False,False
5,8,7,False,False,False,False,False,False,True,False,False,False,False,True,False
0,26,3,False,True,False,False,False,False,False,False,False,False,True,False,False
2,10,26,False,False,False,False,False,False,True,False,False,False,False,False,True
2,9,35,False,False,False,False,True,False,False,False,False,False,True,False,False
9,20,4,False,False,False,False,False,False,False,True,False,False,True,False,False
3,0,32,True,False,False,False,False,False,False,False,False,False,True,False,False
5,17,48,True,False,False,False,False,False,False,False,False,False,True,False,False
6,30,33,False,False,False,False,False,False,False,False,False,True,True,False,False
9,3,29,False,False,False,False,False,False,False,True,False,False,False,False,True
3,4,7,False,False,True,False,False,False,False,False,False,False,False,True,False
5,8,38,False,False,False,True,False,False,False,False,False,False,True,False,False
10,26,46,False,False,False,False,False,True,False,False,False,False,True,False,False
0,30,25,True,False,False,False,False,False,False,False,False,False,True,False,False
7,16,36,False,False,False,False,False,False,False,False,True,False,True,False,False
6,2,33,True,False,False,False,False,False,False,False,False,False,True,False,False
10,15,6,False,False,False,False,False,False,True,False,False,False,False,False,True
