Operative_Procedure,Procedure_Count,Infections_Reported,Infections_Predicted,SIR
Cesarean section,7,8,18,Low
Hysterectomy,8,19,29,Mid
Hip replacement,5,6,27,Mid
Knee arthroscopy,4,1,34,High
Cesarean section,5,21,42,High
Prostatectomy,10,23,10,High
Hernia repair,1,27,30,High
Cesarean section,3,22,48,High
Hip replacement,2,6,47,High
Knee arthroscopy,6,7,38,High
Hysterectomy,8,6,35,High
Hip replacement,4,20,29,High
Hip replacement,5,22,22,High
Hernia repair,9,28,18,High
Cataract surgery,1,13,11,Mid
Knee arthroscopy,2,25,14,High
Cholecystectomy,2,18,30,High
Hip replacement,8,4,42,High
Cataract surgery,6,22,36,High
Cholecystectomy,7,30,36,High
Knee arthroscopy,10,24,14,High
Appendectomy,9,30,28,High
Prostatectomy,10,17,49,High
Cataract surgery,8,19,42,High
Coronary artery bypass graft (CABG),5,11,25,Mid
Appendectomy,3,22,43,High
Prostatectomy,0,16,1,Mid
Hernia repair,7,12,19,Mid
Cesarean section,6,1,14,Low
Hysterectomy,1,24,3,High
Coronary artery bypass graft (CABG),7,12,21,Mid
Hernia repair,4,25,49,High
Knee arthroscopy,6,6,37,High
Hernia repair,3,27,22,High
Cesarean section,4,9,25,Mid
Knee arthroscopy,7,22,50,High
Coronary artery bypass graft (CABG),0,5,10,Low
Cesarean section,0,2,27,Mid
Cholecystectomy,3,25,1,High
Hysterectomy,2,2,7,Low
Coronary artery bypass graft (CABG),9,17,28,Mid
Cholecystectomy,1,10,10,Mid
Prostatectomy,2,21,36,High
Coronary artery bypass graft (CABG),10,19,17,Mid
Prostatectomy,10,4,49,High
Knee arthroscopy,10,18,13,Mid
Cholecystectomy,0,21,9,High
Hysterectomy,0,26,34,High
Cesarean section,5,27,8,High
Hip replacement,4,18,34,High
Hernia repair,7,29,10,High
Appendectomy,1,14,43,High
Hysterectomy,3,29,11,High
Cholecystectomy,7,15,2,Mid
Hip replacement,5,23,38,High
Hysterectomy,0,8,13,Low
Cholecystectomy,3,3,27,Mid
Cataract surgery,0,14,10,Mid
Cataract surgery,1,24,38,High
Prostatectomy,4,11,24,Mid
Hysterectomy,7,22,20,High
Cataract surgery,7,2,9,Low
Cholecystectomy,10,22,42,High
Prostatectomy,2,13,14,Mid
Cholecystectomy,10,16,18,Mid
Prostatectomy,3,18,47,High
Hysterectomy,9,5,21,Mid
Hip replacement,10,3,20,Mid
Cesarean section,5,6,43,High
Coronary artery bypass graft (CABG),10,29,31,High
Hip replacement,10,18,49,High
Knee arthroscopy,9,16,22,Mid
Cholecystectomy,2,24,12,High
Knee arthroscopy,1,15,4,Mid
Hip replacement,5,14,3,Mid
Prostatectomy,10,21,27,High
Coronary artery bypass graft (CABG),4,7,13,Low
Coronary artery bypass graft (CABG),9,18,7,Mid
Appendectomy,4,7,8,Low
Coronary artery bypass graft (CABG),9,17,50,High
Cesarean section,4,27,34,High
Coronary artery bypass graft (CABG),9,15,36,High
Hip replacement,4,19,20,Mid
Appendectomy,2,18,17,Mid
Hip replacement,6,9,32,High
Hip replacement,5,16,7,Mid
Hernia repair,3,30,50,High
Appendectomy,1,12,48,High
Hip replacement,8,12,16,Mid
Hernia repair,0,6,42,High
Hernia repair,10,26,30,High
Appendectomy,3,9,33,High
Knee arthroscopy,0,1,5,Low
Prostatectomy,5,3,21,Mid
Cesarean section,3,24,13,High
Prostatectomy,4,5,2,Low
Coronary artery bypass graft (CABG),4,23,11,High
Cesarean section,8,17,35,High
Coronary artery bypass graft (CABG),0,22,11,High
Hip replacement,1,5,44,High
Cholecystectomy,5,28,1,High
Appendectomy,4,29,1,High
Cesarean section,10,24,14,High
Cesarean section,6,22,22,High
Hip replacement,2,16,28,Mid
Knee arthroscopy,2,13,16,Mid
Hernia repair,9,23,31,High
Hip replacement,1,10,6,Mid
Cataract surgery,2,25,29,High
Hernia repair,9,30,27,High
Appendectomy,0,18,13,Mid
Hernia repair,4,29,43,High
Knee arthroscopy,4,1,29,Mid
Hernia repair,10,27,16,High
Appendectomy,6,2,31,High
Knee arthroscopy,3,10,45,High
Prostatectomy,2,5,5,Low
Cesarean section,0,28,50,High
Cesarean section,7,13,23,Mid
Coronary artery bypass graft (CABG),2,18,5,Mid
Prostatectomy,1,25,26,High
Prostatectomy,10,15,17,Mid
Hernia repair,3,20,23,High
Cesarean section,2,21,36,High
Appendectomy,0,23,23,High
Hysterectomy,2,6,37,High
Hysterectomy,1,29,33,High
Knee arthroscopy,7,26,39,High
Cesarean section,5,7,46,High
Cesarean section,8,18,14,Mid
Hysterectomy,7,19,10,Mid
Cesarean section,9,15,21,Mid
Hernia repair,2,21,23,High
Cataract surgery,4,26,0,High
Cholecystectomy,6,6,17,Low
Prostatectomy,4,8,43,High
Coronary artery bypass graft (CABG),7,12,11,Mid
Knee arthroscopy,4,0,42,High
Cataract surgery,0,28,27,High
Hysterectomy,4,30,39,High
Prostatectomy,3,7,6,Low
Cesarean section,5,23,22,High
Coronary artery bypass graft (CABG),2,21,20,High
Cesarean section,10,3,33,High
Appendectomy,4,2,10,Low
Appendectomy,1,26,21,High
Coronary artery bypass graft (CABG),10,2,41,High
Coronary artery bypass graft (CABG),5,21,34,High
Hysterectomy,5,12,28,Mid
Coronary artery bypass graft (CABG),4,7,41,High
Hernia repair,5,6,27,Mid
Cesarean section,10,26,17,High
Cataract surgery,6,0,13,Low
Hip replacement,4,26,17,High
Coronary artery bypass graft (CABG),0,15,27,Mid
Knee arthroscopy,7,5,23,Mid
Appendectomy,3,6,7,Low
Hernia repair,8,11,41,High
Prostatectomy,9,22,44,High
Hip replacement,5,8,7,Low
Cataract surgery,0,26,3,High
Hip replacement,2,10,26,Mid
Coronary artery bypass graft (CABG),2,9,35,High
Hysterectomy,9,20,4,High
Appendectomy,3,0,32,High
Appendectomy,5,17,48,High
Prostatectomy,6,30,33,High
Hysterectomy,9,3,29,Mid
Cesarean section,3,4,7,Low
Cholecystectomy,5,8,38,High
Hernia repair,10,26,46,High
Appendectomy,0,30,25,High
Knee arthroscopy,7,16,36,High
Appendectomy,6,2,33,High
Hip replacement,10,15,6,Mid
Appendectomy,10,4,39,High
Appendectomy,8,15,27,Mid
Cholecystectomy,2,2,38,High
Cholecystectomy,1,19,38,High
Cataract surgery,0,14,27,Mid
Cesarean section,2,29,13,High
Knee arthroscopy,4,2,49,High
Appendectomy,10,19,37,High
Appendectomy,1,13,3,Mid
Hernia repair,2,30,41,High
Cholecystectomy,3,15,17,Mid
Knee arthroscopy,6,28,43,High
Prostatectomy,2,28,47,High
Cataract surgery,8,30,24,High
Cesarean section,7,30,6,High
Hysterectomy,3,16,37,High
Cesarean section,0,27,27,High
Hip replacement,0,23,4,High
Appendectomy,0,19,2,Mid
Cataract surgery,0,22,43,High
Hip replacement,7,17,30,High
Knee arthroscopy,2,17,46,High
Hysterectomy,5,21,41,High
Cholecystectomy,2,13,19,Mid
Cataract surgery,10,17,18,Mid
Cataract surgery,4,14,47,High
Appendectomy,6,14,10,Mid
Coronary artery bypass graft (CABG),1,5,39,High
Cataract surgery,5,26,2,High
Hernia repair,5,14,22,Mid
Hysterectomy,10,17,6,Mid
Hysterectomy,2,3,22,Mid
Hernia repair,5,22,6,High
Prostatectomy,9,7,45,High
Hernia repair,9,14,33,High
Hernia repair,4,2,41,High
Hysterectomy,1,29,18,High
Cesarean section,8,14,8,Mid
Hysterectomy,7,12,47,High
Coronary artery bypass graft (CABG),2,8,50,High
Appendectomy,7,1,17,Low
Hip replacement,8,23,40,High
Cesarean section,2,7,47,High
Cholecystectomy,2,28,44,High
Hip replacement,1,29,41,High
Appendectomy,7,19,24,Mid
Coronary artery bypass graft (CABG),9,16,13,Mid
Coronary artery bypass graft (CABG),0,12,43,High
Cholecystectomy,7,0,24,Mid
Cesarean section,6,1,18,Low
Prostatectomy,6,29,38,High
Hernia repair,2,14,14,Mid
Cesarean section,0,11,15,Mid
Prostatectomy,3,13,26,Mid
